filename,original_label,path,chroma_std,flatness,contrast,lyric_sad,lyric_joy,SAD_SCORE,RELAXED_SCORE
"161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",sad,"data/raw\sad\161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",0.16421129,0.018337598,26.267356369369658,0.9785325871780515,0.012743570900056511,3.3861720879510306,0.9342801910191676
162_Lewis Capaldi - Someone You Loved.wav,sad,data/raw\sad\162_Lewis Capaldi - Someone You Loved.wav,0.15044881,0.03155,26.658605275365463,0.9838570449501276,0.008906868635676801,3.3622558319504847,0.8012210341044402
192_Rex orange county - happiness (lyrics).wav,sad,data/raw2\sad\192_Rex orange county - happiness (lyrics).wav,0.19063693,0.005458242,27.02324432779836,0.787820041179657,0.09274879097938538,3.3264499746842633,1.1329597729090335
200_øneheart x reidenshi - Snowfall(Lyrics).wav,sad,data/raw2\sad\200_øneheart x reidenshi - Snowfall(Lyrics).wav,0.16436556,0.0164442,25.822225742686783,0.9827859532088041,0.005645245313644409,3.316794435839303,0.9503368679836862
164_Lukas Graham - Love Someone [Official Music Video].wav,sad,data/raw\sad\164_Lukas Graham - Love Someone [Official Music Video].wav,0.15995441,0.015387443,25.81564360349838,0.9853214633185416,0.007837568409740925,3.287313009993695,1.007075516428882
155_Christina Perri - A Thousand Years [Official Music Video].wav,sad,data/raw\sad\155_Christina Perri - A Thousand Years [Official Music Video].wav,0.15086205,0.022384472,26.73657882841906,0.9382375162094831,0.053270417265594006,3.2846748482756425,1.054880308022777
190_New West - Those Eyes (Lyrics).wav,sad,data/raw2\sad\190_New West - Those Eyes (Lyrics).wav,0.14940344,0.008420992,27.91908390198318,0.7935866615734994,0.05559009686112404,3.1843838496834693,1.3134619320446872
157_Ed Sheeran - Perfect (Official Music Video).wav,sad,data/raw\sad\157_Ed Sheeran - Perfect (Official Music Video).wav,0.15234117,0.025019323,26.081822954961883,0.9178306981921196,0.047572119161486626,3.1368458317173706,0.9853393193552371
188_liana flores - rises the moon (Lyrics).wav,sad,data/raw2\sad\188_liana flores - rises the moon (Lyrics).wav,0.14294071,0.0021511938,25.703730975597985,0.9657235741615295,0.013584170490503311,3.0972367971444124,1.3789504291524077
179_as the world caves in - matt maltese  lyrics.wav,sad,data/raw2\sad\179_as the world caves in - matt maltese  lyrics.wav,0.15709578,0.02070872,25.204501019616963,0.9493762291967869,0.018413806334137917,3.0820205855870864,0.9597584112756731
181_chamber of reflection  mac demarco (lyrics).wav,sad,data/raw2\sad\181_chamber of reflection  mac demarco (lyrics).wav,0.11821127,0.010148417,26.148219747660306,0.9803440887480974,0.012279917020350695,3.0186425658315317,1.4254468105464433
193_Rio Romeo - Nothings New (Lyrics).wav,sad,data/raw2\sad\193_Rio Romeo - Nothings New (Lyrics).wav,0.1362868,0.004690223,27.129776568194924,0.8176398465875536,0.019602099433541298,2.993718042619422,1.3987674174712514
154_Bruno Mars - When I Was Your Man (Official Music Video).wav,sad,data/raw\sad\154_Bruno Mars - When I Was Your Man (Official Music Video).wav,0.16625948,0.02093357,26.68940791714441,0.7405816444661468,0.029859745875000954,2.9834301963207395,0.9113331320849836
184_James Arthur - Car's Outside (Lyrics).wav,sad,data/raw2\sad\184_James Arthur - Car's Outside (Lyrics).wav,0.14245477,0.0198326,24.99162429115567,0.9538431206019595,0.023272383958101273,2.9419141888043603,1.0970795086803726
168_One-Direction-Story-of-My-Life.wav,sad,data/raw\sad\168_One-Direction-Story-of-My-Life.wav,0.11359194,0.01645135,25.704047975864913,0.9485955499112606,0.023358311038464308,2.8384310032706375,1.375594704879966
