filename,original_label,path,contrast,lyric_sad,lyric_joy,SAD_SCORE,RELAXED_SCORE
162_Lewis Capaldi - Someone You Loved.wav,sad,data/raw\sad\162_Lewis Capaldi - Someone You Loved.wav,26.658605275365463,0.9838570449501276,0.008906868635676801,2.6680724827252207,0.3231878817863429
155_Christina Perri - A Thousand Years [Official Music Video].wav,sad,data/raw\sad\155_Christina Perri - A Thousand Years [Official Music Video].wav,26.73657882841906,0.9382375162094831,0.053270417265594006,2.5873469037979553,0.40699584916774706
"161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",sad,"data/raw\sad\161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",26.267356369369658,0.9785325871780515,0.012743570900056511,2.5872614250947987,0.4014047452162639
181_chamber of reflection  mac demarco (lyrics).wav,sad,data/raw2\sad\181_chamber of reflection  mac demarco (lyrics).wav,26.148219747660306,0.9803440887480974,0.012279917020350695,2.569774952361842,0.42162764502572087
164_Lukas Graham - Love Someone [Official Music Video].wav,sad,data/raw\sad\164_Lukas Graham - Love Someone [Official Music Video].wav,25.81564360349838,0.9853214633185416,0.007837568409740925,2.520795578932528,0.4711472966976957
200_øneheart x reidenshi - Snowfall(Lyrics).wav,sad,data/raw2\sad\200_øneheart x reidenshi - Snowfall(Lyrics).wav,25.822225742686783,0.9827859532088041,0.005645245313644409,2.516709822505344,0.4651449331550803
190_New West - Those Eyes (Lyrics).wav,sad,data/raw2\sad\190_New West - Those Eyes (Lyrics).wav,27.91908390198318,0.7935866615734994,0.05559009686112404,2.498155423844131,0.2012439963669414
188_liana flores - rises the moon (Lyrics).wav,sad,data/raw2\sad\188_liana flores - rises the moon (Lyrics).wav,25.703730975597985,0.9657235741615295,0.013584170490503311,2.4601872919940773,0.5037603017610375
157_Ed Sheeran - Perfect (Official Music Video).wav,sad,data/raw\sad\157_Ed Sheeran - Perfect (Official Music Video).wav,26.081822954961883,0.9178306981921196,0.047572119161486626,2.4282623407970894,0.5111994286288967
168_One-Direction-Story-of-My-Life.wav,sad,data/raw\sad\168_One-Direction-Story-of-My-Life.wav,25.704047975864913,0.9485955499112606,0.023358311038464308,2.424714775891409,0.5252316013937167
193_Rio Romeo - Nothings New (Lyrics).wav,sad,data/raw2\sad\193_Rio Romeo - Nothings New (Lyrics).wav,27.129776568194924,0.8176398465875536,0.019602099433541298,2.407302394754219,0.26272648211557137
179_as the world caves in - matt maltese  lyrics.wav,sad,data/raw2\sad\179_as the world caves in - matt maltese  lyrics.wav,25.204501019616963,0.9493762291967869,0.018413806334137917,2.3372563332806022,0.6034190103508602
192_Rex orange county - happiness (lyrics).wav,sad,data/raw2\sad\192_Rex orange county - happiness (lyrics).wav,27.02324432779836,0.787820041179657,0.09274879097938538,2.3264499746842633,0.44283071090400805
184_James Arthur - Car's Outside (Lyrics).wav,sad,data/raw2\sad\184_James Arthur - Car's Outside (Lyrics).wav,24.99162429115567,0.9538431206019595,0.023272383958101273,2.308562519936182,0.6520797533982234
"187_Lady Gaga, Bruno Mars - Die With A Smile (Lyrics).wav",sad,"data/raw2\sad\187_Lady Gaga, Bruno Mars - Die With A Smile (Lyrics).wav",25.442949931537104,0.875821192516014,0.06181303411722183,2.22719902659954,0.6564875138651949
180_Billie Eilish - everything i wanted (Lyrics).wav,sad,data/raw2\sad\180_Billie Eilish - everything i wanted (Lyrics).wav,24.15872344551386,0.9740510679548606,0.012091063428670168,2.201959754886851,0.7759731336380115
154_Bruno Mars - When I Was Your Man (Official Music Video).wav,sad,data/raw\sad\154_Bruno Mars - When I Was Your Man (Official Music Video).wav,26.68940791714441,0.7405816444661468,0.029859745875000954,2.1689335351003054,0.36384455638520097
